,Rank,Player
0,1,Todd Gurley
1,2,Le'Veon Bell
2,3,Ezekiel Elliott
3,4,David Johnson
4,5,Antonio Brown
5,6,DeAndre Hopkins
6,7,Saquon Barkley
7,8,Kareem Hunt
8,9,Alvin Kamara
9,10,Melvin Gordon
10,11,Leonard Fournette
11,12,Odell Beckham
12,13,Julio Jones
13,14,Dalvin Cook
14,15,Keenan Allen
15,16,Michael Thomas
16,17,A.J. Green
17,18,Davante Adams
18,19,Rob Gronkowski
19,20,Mike Evans
20,21,T.Y. Hilton
21,22,Travis Kelce
22,23,Jerick McKinnon
23,24,Devonta Freeman
24,25,Jordan Howard
25,26,Joe Mixon
26,27,Zach Ertz
27,28,Derrick Henry
28,29,Aaron Rodgers
29,30,Alex Collins
30,31,Christian McCaffrey
31,32,Demaryius Thomas
32,33,Amari Cooper
33,34,Kenyan Drake
34,35,Stefon Diggs
35,36,Tyreek Hill
36,37,LeSean McCoy
37,38,Derrius Guice
38,39,Rashaad Penny
39,40,Larry Fitzgerald
40,41,Allen Robinson
41,42,Adam Thielen
42,43,Josh Gordon
43,44,Doug Baldwin
44,45,JuJu Smith-Schuster
45,46,Greg Olsen
46,47,Lamar Miller
47,48,Tom Brady
48,49,Mark Ingram
49,50,Ronald Jones
50,51,Royce Freeman
51,52,Jay Ajayi
52,53,Kerryon Johnson
53,54,Alshon Jeffery
54,55,Marvin Jones
55,56,Jamaal Williams
56,57,Chris Hogan
57,58,Sony Michel
58,59,Marlon Mack
59,60,Michael Crabtree
60,61,Jarvis Landry
61,62,Julian Edelman
62,63,Sammy Watkins
63,64,Marshawn Lynch
64,65,Rex Burkhead
65,66,Dion Lewis
66,67,Golden Tate
67,68,Corey Davis
68,69,Randall Cobb
69,70,Robert Woods
70,71,Tevin Coleman
71,72,Jamison Crowder
72,73,Pierre Garcon
73,74,Cooper Kupp
74,75,Brandin Cooks
75,76,Deshaun Watson
76,77,Will Fuller
77,78,Trey Burton
78,79,Andrew Luck
79,80,Jimmy Graham
80,81,Drew Brees
81,82,Robby Anderson
82,83,Emmanuel Sanders
83,84,Cam Newton
84,85,Kenny Stills
85,86,Delanie Walker
86,87,DeVante Parker
87,88,Russell Wilson
88,89,Isaiah Crowell
89,90,Carlos Hyde
90,91,Carson Wentz
91,92,Kyle Rudolph
92,93,Tarik Cohen
93,94,Rishard Matthews
94,95,Evan Engram
95,96,Devontae Booker
96,97,Kelvin Benjamin
97,98,DJ Moore
98,99,Nelson Agholor
99,100,Marquise Goodwin
100,101,Ben Roethlisberger
101,102,Allen Hurns
102,103,C.J. Anderson
103,104,Matt Breida
104,105,Giovani Bernard
105,106,Marqise Lee
106,107,Devin Funchess
107,108,Aaron Jones
108,109,Nick Chubb
109,110,Jordan Reed
110,111,Jordy Nelson
111,112,Mike Williams
112,113,Corey Clement
113,114,Duke Johnson
114,115,Ty Montgomery
115,116,Chris Thompson
116,117,Tyler Lockett
117,118,Dez Bryant
118,119,Kirk Cousins
119,120,Kenny Golladay
120,121,Matthew Stafford
121,122,Michael Gallup
122,123,Chris Carson
123,124,Anthony Miller
124,125,Patrick Mahomes
125,126,Sterling Shepard
126,127,Jimmy Garoppolo
127,128,Cameron Meredith
128,129,Calvin Ridley
129,130,D'Onta Foreman
130,131,LeGarrette Blount
131,132,Matt Ryan
132,133,Jordan Wilkins
133,134,Josh Doctson
134,135,Geronimo Allison
135,136,Keelan Cole
136,137,Peyton Barber
137,138,Nyheim Hines
138,139,Jack Doyle
139,140,Eli Manning
140,141,George Kittle
141,142,Quincy Enunwa
142,143,Paul Richardson
143,144,Philip Rivers
144,145,Bilal Powell
145,146,Doug Martin
146,147,Jared Goff
147,148,DeSean Jackson
148,149,Jameis Winston
149,150,Ted Ginn
150,151,Marcus Mariota
151,152,Ricky Seals-Jones
152,153,Mike Wallace
153,154,Brandon Marshall
154,155,David Njoku
155,156,Latavius Murray
156,157,Kalen Ballage
157,158,Mohamed Sanu
158,159,Danny Amendola
159,160,James White
160,161,Derek Carr
161,162,Tyrell Williams
162,163,Chester Rogers
163,164,John Brown
164,165,Donte Moncrief
165,166,Martavis Bryant
166,167,Alex Smith
167,168,Benjamin Watson
168,169,Mitchell Trubisky
169,170,Dede Westbrook
170,171,Taywan Taylor
171,172,Dante Pettis
172,173,Christian Kirk
173,174,Albert Wilson
174,175,Dak Prescott
175,176,Theo Riddick
176,177,Austin Ekeler
177,178,Charles Clay
178,179,Keke Coutee
179,180,Eric Ebron
180,181,Kenneth Dixon
181,182,Frank Gore
182,183,Jaguars
183,184,Javorius Allen
184,185,Tyler Eifert
185,186,Rams
186,187,Tyrod Taylor
187,188,Spencer Ware
188,189,John Kelly
189,190,James Conner
190,191,Austin Seferian-Jenkins
191,192,T.J. Yeldon
192,193,Samaje Perine
193,194,Cameron Brate
194,195,Jeremy Hill
195,196,Trent Taylor
196,197,Hayden Hurst
197,198,O.J. Howard
198,199,Jared Cook
199,200,Vikings
