Player,Pos,Team,PosRank,Rank
Le'Veon Bell,RB,PIT,RB1,1.
Todd Gurley II,RB,LAR,RB2,2.
David Johnson,RB,ARI,RB3,3.
Ezekiel Elliott,RB,DAL,RB4,4.
Antonio Brown,WR,PIT,WR1,5.
Saquon Barkley,RB,NYG,RB5,6.
Alvin Kamara,RB,NO,RB6,7.
Julio Jones,WR,ATL,WR2,8.
Odell Beckham Jr.,WR,NYG,WR3,9.
DeAndre Hopkins,WR,HOU,WR4,10.
Kareem Hunt,RB,KC,RB7,11.
Leonard Fournette,RB,JAC,RB8,12.
Dalvin Cook,RB,MIN,RB9,13.
Melvin Gordon,RB,LAC,RB10,14.
Keenan Allen,WR,LAC,WR5,15.
Michael Thomas,WR,NO,WR6,16.
Devonta Freeman,RB,ATL,RB11,17.
A.J. Green,WR,CIN,WR7,18.
Jordan Howard,RB,CHI,RB12,19.
Rob Gronkowski,TE,NE,TE1,20.
Davante Adams,WR,GB,WR8,21.
Mike Evans,WR,TB,WR9,22.
Christian McCaffrey,RB,CAR,RB13,23.
Larry Fitzgerald,WR,ARI,WR10,24.
T.Y. Hilton,WR,IND,WR11,25.
Adam Thielen,WR,MIN,WR12,26.
Doug Baldwin,WR,SEA,WR13,27.
Stefon Diggs,WR,MIN,WR14,28.
Travis Kelce,TE,KC,TE2,29.
Zach Ertz,TE,PHI,TE3,30.
Tyreek Hill,WR,KC,WR15,31.
Allen Robinson,WR,CHI,WR16,32.
Josh Gordon,WR,CLE,WR17,33.
Alshon Jeffery,WR,PHI,WR18,34.
Amari Cooper,WR,OAK,WR19,35.
LeSean McCoy,RB,BUF,RB14,36.
Jerick McKinnon,RB,SF,RB15,37.
Joe Mixon,RB,CIN,RB16,38.
Demaryius Thomas,WR,DEN,WR20,39.
Brandin Cooks,WR,LAR,WR21,40.
Marvin Jones Jr.,WR,DET,WR22,41.
Golden Tate,WR,DET,WR23,42.
Kenyan Drake,RB,MIA,RB17,43.
Royce Freeman,RB,DEN,RB18,44.
Derrius Guice,RB,WAS,RB19,45.
Ronald Jones II,RB,TB,RB20,46.
Alex Collins,RB,BAL,RB21,47.
Rashaad Penny,RB,SEA,RB22,48.
Derrick Henry,RB,TEN,RB23,49.
Jay Ajayi,RB,PHI,RB24,50.
JuJu Smith-Schuster,WR,PIT,WR24,51.
Robert Woods,WR,LAR,WR25,52.
Jarvis Landry,WR,CLE,WR26,53.
Emmanuel Sanders,WR,DEN,WR27,54.
Marshawn Lynch,RB,OAK,RB25,55.
Aaron Rodgers,QB,GB,QB1,56.
Tom Brady,QB,NE,QB2,57.
Sony Michel,RB,NE,RB26,58.
Isaiah Crowell,RB,NYJ,RB27,59.
Lamar Miller,RB,HOU,RB28,60.
Tevin Coleman,RB,ATL,RB29,61.
Corey Davis,WR,TEN,WR28,62.
Pierre Garcon,WR,SF,WR29,63.
Devin Funchess,WR,CAR,WR30,64.
Michael Crabtree,WR,BAL,WR31,65.
Cam Newton,QB,CAR,QB3,66.
Carson Wentz,QB,PHI,QB4,67.
Russell Wilson,QB,SEA,QB5,68.
Deshaun Watson,QB,HOU,QB6,69.
Chris Hogan,WR,NE,WR32,70.
Sammy Watkins,WR,KC,WR33,71.
Kelvin Benjamin,WR,BUF,WR34,72.
Will Fuller V,WR,HOU,WR35,73.
Kenny Stills,WR,MIA,WR36,74.
Randall Cobb,WR,GB,WR37,75.
Josh Doctson,WR,WAS,WR38,76.
Greg Olsen,TE,CAR,TE4,77.
Delanie Walker,TE,TEN,TE5,78.
Evan Engram,TE,NYG,TE6,79.
Dion Lewis,RB,TEN,RB30,80.
Robby Anderson,WR,NYJ,WR39,81.
Marquise Goodwin,WR,SF,WR40,82.
Rex Burkhead,RB,NE,RB31,83.
Jimmy Graham,TE,GB,TE7,84.
Kerryon Johnson,RB,DET,RB32,85.
Carlos Hyde,RB,CLE,RB33,86.
Marlon Mack,RB,IND,RB34,87.
Cooper Kupp,WR,LAR,WR41,88.
DeVante Parker,WR,MIA,WR42,89.
Jordan Reed,TE,WAS,TE8,90.
Sterling Shepard,WR,NYG,WR43,91.
DeSean Jackson,WR,TB,WR44,92.
Julian Edelman,WR,NE,WR45,93.
Jamaal Williams,RB,GB,RB35,94.
Duke Johnson Jr.,RB,CLE,RB36,95.
Tarik Cohen,RB,CHI,RB37,96.
Mark Ingram,RB,NO,RB38,97.
Nick Chubb,RB,CLE,RB39,98.
Kyle Rudolph,TE,MIN,TE9,99.
Chris Thompson,RB,WAS,RB40,100.
Jamison Crowder,WR,WAS,WR46,101.
Rishard Matthews,WR,TEN,WR47,102.
Kenny Golladay,WR,DET,WR48,103.
Allen Hurns,WR,DAL,WR49,104.
Jordy Nelson,WR,OAK,WR50,105.
Nelson Agholor,WR,PHI,WR51,106.
Chris Carson,RB,SEA,RB41,107.
C.J. Anderson,RB,CAR,RB42,108.
