,Rank,Player
0,1,Ezekiel Elliott
1,2,Todd Gurley
2,3,David Johnson
3,4,Le'Veon Bell
4,5,Alvin Kamara
5,6,Antonio Brown
6,7,Kareem Hunt
7,8,Julio Jones
8,9,Odell Beckham
9,10,DeAndre Hopkins
10,11,Leonard Fournette
11,12,Michael Thomas
12,13,Melvin Gordon
13,14,Saquon Barkley
14,15,Devonta Freeman
15,16,A.J. Green
16,17,Keenan Allen
17,18,Mike Evans
18,19,Dalvin Cook
19,20,Davante Adams
20,21,Tyreek Hill
21,22,Joe Mixon
22,23,Jordan Howard
23,24,Doug Baldwin
24,25,LeSean McCoy
25,26,Aaron Rodgers
26,27,Alshon Jeffery
27,28,Stefon Diggs
28,29,Jay Ajayi
29,30,Travis Kelce
30,31,Rob Gronkowski
31,32,Derrick Henry
32,33,Jerick McKinnon
33,34,Marvin Jones
34,35,Brandin Cooks
35,36,Amari Cooper
36,37,Josh Gordon
37,38,JuJu Smith-Schuster
38,39,Adam Thielen
39,40,Russell Wilson
40,41,Zach Ertz
41,42,Alex Collins
42,43,Christian McCaffrey
43,44,Larry Fitzgerald
44,45,Derrius Guice
45,46,Tom Brady
46,47,Devin Funchess
47,48,T.Y. Hilton
48,49,Jimmy Graham
49,50,Ronald Jones
50,51,Demaryius Thomas
51,52,Golden Tate
52,53,Kenyan Drake
53,54,Mark Ingram
54,55,Allen Robinson
55,56,Carlos Hyde
56,57,Sammy Watkins
57,58,Jarvis Landry
58,59,Deshaun Watson
59,60,Carson Wentz
60,61,Lamar Miller
61,62,Marshawn Lynch
62,63,Josh Doctson
63,64,Allen Hurns
64,65,Cam Newton
65,66,Isaiah Crowell
66,67,Rashaad Penny
67,68,Evan Engram
68,69,C.J. Anderson
69,70,Duke Johnson
70,71,Chris Carson
71,72,DeVante Parker
72,73,Delanie Walker
73,74,Matthew Stafford
74,75,Tevin Coleman
75,76,Chris Hogan
76,77,Corey Davis
77,78,Kyle Rudolph
78,79,Drew Brees
79,80,Robert Woods
80,81,Devontae Booker
81,82,Royce Freeman
82,83,Will Fuller
83,84,Jamaal Williams
84,85,Kerryon Johnson
85,86,Marquise Goodwin
86,87,Jordy Nelson
87,88,Greg Olsen
88,89,Robby Anderson
89,90,Jamison Crowder
90,91,Marlon Mack
91,92,Philip Rivers
92,93,Sony Michel
93,94,Nelson Agholor
94,95,George Kittle
95,96,Michael Crabtree
96,97,Rex Burkhead
97,98,D'Onta Foreman
98,99,Trey Burton
99,100,Ben Roethlisberger
100,101,Pierre Garcon
101,102,Corey Clement
102,103,Emmanuel Sanders
103,104,Danny Amendola
104,105,Marcus Mariota
105,106,Ty Montgomery
106,107,Dion Lewis
107,108,Marqise Lee
108,109,Jack Doyle
109,110,Matt Ryan
110,111,Jaguars
111,112,Eagles
112,113,Kelvin Benjamin
113,114,Chris Thompson
114,115,Sterling Shepard
115,116,Jared Goff
116,117,Randall Cobb
117,118,Dak Prescott
118,119,Kirk Cousins
119,120,Matt Breida
120,121,Julian Edelman
121,122,Vikings
122,123,Jordan Reed
123,124,Ricky Seals-Jones
124,125,Cooper Kupp
125,126,Cameron Meredith
126,127,Derek Carr
127,128,Jimmy Garoppolo
128,129,Theo Riddick
129,130,Tyler Eifert
130,131,Rams
131,132,Giovani Bernard
132,133,Chargers
133,134,Kenny Stills
134,135,Patrick Mahomes
135,136,Andrew Luck
136,137,Chris Ivory
137,138,LeGarrette Blount
138,139,Frank Gore
139,140,Rishard Matthews
140,141,Mike Williams
141,142,Saints
142,143,Samaje Perine
143,144,David Njoku
144,145,Dede Westbrook
145,146,Paul Richardson
146,147,Ravens
147,148,Ben Watson
148,149,James White
149,150,Nick Chubb
150,151,Panthers
151,152,D.J. Moore
152,153,Alex Smith
153,154,Tarik Cohen
154,155,Cameron Brate
155,156,O.J. Howard
156,157,Steelers
157,158,Calvin Ridley
158,159,Buck Allen
159,160,Aaron Jones
160,161,Martavis Bryant
161,162,Latavius Murray
162,163,Charles Clay
163,164,Donte Moncrief
164,165,DeSean Jackson
165,166,Texans
166,167,Jameis Winston
167,168,Kenny Golladay
168,169,Bilal Powell
169,170,Mohamed Sanu
170,171,Broncos
171,172,Geronimo Allison
172,173,Mitchell Trubisky
173,174,Bears
174,175,Doug Martin
175,176,Luke Willson
176,177,Peyton Barber
177,178,Jared Cook
178,179,Cole Beasley
179,180,Patriots
180,181,Austin Seferian-Jenkins
181,182,T.J. Yeldon
182,183,Lions
183,184,Eli Manning
184,185,Vance McDonald
185,186,Titans
186,187,Case Keenum
187,188,Virgil Green
188,189,Justin Tucker
189,190,Greg Zuerlein
190,191,Stephen Gostkowski
191,192,Jake Elliott
192,193,Matt Bryant
193,194,Harrison Butker
194,195,Dan Bailey
195,196,Wil Lutz
196,197,Matt Prater
197,198,Chris Boswell
198,199,Ka'imi Fairbairn
199,200,Robbie Gould
