Rank,Player
1,Ezekiel Elliott
2,Todd Gurley
3,David Johnson
4,Le'Veon Bell
5,Alvin Kamara
6,Antonio Brown
7,Kareem Hunt
8,Julio Jones
9,Odell Beckham
10,DeAndre Hopkins
11,Leonard Fournette
12,Michael Thomas
13,Melvin Gordon
14,Saquon Barkley
15,Devonta Freeman
16,A.J. Green
17,Keenan Allen
18,Mike Evans
19,Dalvin Cook
20,Davante Adams
21,Tyreek Hill
22,Joe Mixon
23,Jordan Howard
24,Doug Baldwin
25,LeSean McCoy
26,Aaron Rodgers
27,Alshon Jeffery
28,Stefon Diggs
29,Jay Ajayi
30,Travis Kelce
31,Rob Gronkowski
32,Derrick Henry
33,Jerick McKinnon
34,Marvin Jones
35,Brandin Cooks
36,Amari Cooper
37,Josh Gordon
38,JuJu Smith-Schuster
39,Adam Thielen
40,Russell Wilson
41,Zach Ertz
42,Alex Collins
43,Christian McCaffrey
44,Larry Fitzgerald
45,Derrius Guice
46,Tom Brady
47,Devin Funchess
48,T.Y. Hilton
49,Jimmy Graham
50,Ronald Jones
51,Demaryius Thomas
52,Golden Tate
53,Kenyan Drake
54,Markgram
55,Allen Robinson
56,Carlos Hyde
57,Sammy Watkins
58,Jarvis Landry
59,Deshaun Watson
60,Carson Wentz
61,Lamar Miller
62,Marshawn Lynch
63,Josh Doctson
64,Allen Hurns
65,Cam Newton
66,Isaiah Crowell
67,Rashaad Penny
68,Evan Engram
69,C.J. Anderson
70,Duke Johnson
71,Chris Carson
72,DeVante Parker
73,Delanie Walker
74,Matthew Stafford
75,Tevin Coleman
76,Chris Hogan
77,Corey Davis
78,Kyle Rudolph
79,Drew Brees
80,Robert Woods
81,Devontae Booker
82,Royce Freeman
83,Will Fuller
84,Jamaal Williams
85,Kerryon Johnson
86,Marquise Goodwin
87,Jordy Nelson
88,Greg Olsen
89,Robby Anderson
90,Jamison Crowder
91,Marlon Mack
92,Philip Rivers
93,Sony Michel
94,Nelson Agholor
95,George Kittle
96,Michael Crabtree
97,Rex Burkhead
98,D'Onta Foreman
99,Trey Burton
100,Ben Roethlisberger
101,Pierre Garcon
102,Corey Clement
103,Emmanuel Sanders
104,Danny Amendola
105,Marcus Mariota
106,Ty Montgomery
107,Dion Lewis
108,Marqise Lee
109,Jack Doyle
110,Matt Ryan
111,Jaguars
112,Eagles
113,Kelvin Benjamin
114,Chris Thompson
115,Sterling Shepard
116,Jared Goff
117,Randall Cobb
118,Dak Prescott
119,Kirk Cousins
120,Matt Breida
121,Julian Edelman
122,Vikings
123,Jordan Reed
124,Ricky Seals-Jones
125,Cooper Kupp
126,Cameron Meredith
127,Derek Carr
128,Jimmy Garoppolo
129,Theo Riddick
130,Tyler Eifert
131,Rams
132,Giovani Bernard
133,Chargers
134,Kenny Stills
135,Patrick Mahomes
136,Andrew Luck
137,Chrisory
138,LeGarrette Blount
139,Frank Gore
140,Rishard Matthews
141,Mike Williams
142,Saints
143,Samaje Perine
144,David Njoku
145,Dede Westbrook
146,Paul Richardson
147,Ravens
148,Ben Watson
149,James White
150,Nick Chubb
151,Panthers
152,D.J. Moore
153,Alex Smith
154,Tarik Cohen
155,Cameron Brate
156,O.J. Howard
157,Steelers
158,Calvin Ridley
159,Buck Allen
160,Aaron Jones
161,Martavis Bryant
162,Latavius Murray
163,Charles Clay
164,Donte Moncrief
165,DeSean Jackson
166,Texans
167,Jameis Winston
168,Kenny Golladay
169,Bilal Powell
170,Mohamed Sanu
171,Broncos
172,Geronimo Allison
173,Mitchell Trubisky
174,Bears
175,Doug Martin
176,Luke Willson
177,Peyton Barber
178,Jared Cook
179,Cole Beasley
180,Patriots
181,Austin Seferian-Jenkins
182,T.J. Yeldon
183,Lions
184,Eli Manning
185,Vance McDonald
186,Titans
187,Case Keenum
188,Virgil Green
189,Justin Tucker
190,Greg Zuerlein
191,Stephen Gostkowski
192,Jake Elliott
193,Matt Bryant
194,Harrison Butker
195,Dan Bailey
196,Wil Lutz
197,Matt Prater
198,Chris Boswell
199,Ka'imi Fairbairn
200,Robbie Gould
